City_ID,City,Temperature,Humidity,Cloudiness,wind_speed,Date,Country,Longitude,Latitude
191,cockburn town,82.96,76,9,10.04,1727848941,TC,-71.1419,21.4612
192,karratha,84.69,45,55,21.12,1727848941,AU,116.8463,-20.7377
193,hamilton,57.96,88,89,1.01,1727848810,US,-84.5333,39.1834
194,usogorsk,41.45,63,33,7.38,1727848942,RU,48.6872,63.4106
195,magadan,41.11,74,95,6.46,1727848942,RU,150.8,59.5667
196,lamu,81.3,72,38,9.55,1727848894,KE,40.902,-2.2717
197,novaya mayna,57.96,45,100,9.84,1727848942,RU,49.75,54.15
198,utrik,83.84,79,93,13.2,1727848942,MH,169.8474,11.2278
199,dampit,84.15,63,64,8.34,1727848942,ID,112.7493,-8.2116
200,torghay,65.59,35,64,23.85,1727848942,KZ,63.4981,49.6339
201,puerto santa,62.56,92,92,6.78,1727848942,PE,-78.6456,-8.9906
202,ekibastuz,57.04,58,8,16.75,1727848942,KZ,75.3667,51.6667
203,sinabang,85.21,72,98,2.95,1727848942,ID,96.3801,2.4803
204,yuzhno-kurilsk,71.19,74,26,7.07,1727848943,RU,145.8556,44.0306
205,mednogorsk,56.61,41,98,22.59,1727848943,RU,57.595,51.4128
206,san antonio de pale,76.44,79,100,12.88,1727848928,GQ,5.6325,-1.4014
207,tazovsky,38.73,77,100,11.27,1727848943,RU,78.7,67.4667
208,kabo,72.66,95,100,3.67,1727848943,CF,18.629,7.6994
209,morehead city,71.42,91,40,5.75,1727848943,US,-76.726,34.7229
210,puerto ayora,69.55,92,79,4.0,1727848813,EC,-90.3518,-0.7393
211,cromwell,53.82,88,76,4.03,1727848944,US,-72.6454,41.5951
212,st. john's,51.67,88,100,28.01,1727848944,CA,-52.7093,47.5649
213,saipan,84.74,77,63,17.18,1727848944,MP,145.701,15.1355
214,nova sintra,80.94,82,35,9.89,1727848944,CV,-24.7167,14.8667
215,cole harbour,46.83,94,0,1.01,1727848944,CA,-63.4751,44.6724
216,loch garman,52.9,100,50,7.0,1727848944,IE,-6.4575,52.3342
217,vanimo,86.85,66,100,8.37,1727848944,PG,141.3028,-2.6741
218,tefe,75.31,83,54,0.78,1727848944,BR,-64.7114,-3.3542
219,kourou,76.3,89,39,3.78,1727848807,GF,-52.6478,5.1552
220,talnakh,36.46,84,100,5.39,1727848945,RU,88.3972,69.4865
221,aasiaat,32.34,81,100,7.7,1727848945,GL,-52.8699,68.7098
222,nabire,82.02,83,98,1.16,1727848945,ID,135.4833,-3.3667
223,gibara,79.0,87,16,5.82,1727848945,CU,-76.1317,21.1097
224,tommot,44.98,79,100,11.07,1727848945,RU,126.2925,58.9564
225,opp,67.3,92,0,3.44,1727848733,US,-86.2555,31.2827
226,bubaque,80.92,82,36,9.62,1727848945,GW,-15.8333,11.2833
227,treinta y tres,55.87,84,100,8.99,1727848825,UY,-54.3833,-33.2333
228,linghai,63.61,33,0,8.88,1727848946,CN,121.3667,41.1653
229,sarny,43.72,85,2,2.33,1727848946,UA,26.6019,51.338
230,petropavlovsk-kamchatsky,59.59,48,75,4.47,1727848947,RU,158.6483,53.0452
231,port augusta,82.42,14,0,6.22,1727848947,AU,137.7667,-32.5
232,remire-montjoly,78.84,94,100,3.44,1727848947,GF,-52.2667,4.9167
233,badger,32.0,81,20,3.89,1727848947,US,-147.5333,64.8
234,sandnessjoen,42.91,87,75,5.75,1727848947,NO,12.6316,66.0217
235,al kharj,88.38,19,31,11.74,1727848852,SA,47.3346,24.155
236,polohy,63.93,19,17,16.26,1727848947,UA,36.2536,47.4844
237,madalena,65.71,99,100,3.78,1727848947,PT,-8.3345,41.2162
